9:
 num     #instances         #bytes  class name (module)
 202:         10857         347424  io.grpc.internal.ManagedChannelImpl$ChannelStreamProvider
 203:         10857         347424  io.grpc.internal.ManagedChannelImpl$IdleModeStateAggregator
 204:         10857         347424  io.grpc.internal.MetricRecorderImpl
 205:         10857         347424  io.grpc.internal.ScParser
 206:           550         325600  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 207:          7951         318040  java.security.Provider$ServiceKey (java.base@21.0.6)
 208:          7010         280400  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.6)
 209:          6932         277280  io.grpc.internal.PickFirstLoadBalancer$RequestConnectionPicker
 210:          4312         275968  java.lang.invoke.MemberName (java.base@21.0.6)
 211:         11416         273984  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.6)
 212:          8545         273440  io.netty.util.Recycler$DefaultHandle
 213:          6708         268320  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 214:         11130         267120  java.util.HashMap$EntrySet (java.base@21.0.6)
 215:          6643         265720  java.util.Hashtable$Entry (java.base@21.0.6)
 216:         10975         263400  java.util.concurrent.CountDownLatch (java.base@21.0.6)
 217:         10862         260688  io.grpc.internal.SharedResourcePool
 218:         10861         260664  io.netty.channel.ReflectiveChannelFactory
 219:         10860         260640  io.netty.channel.WriteBufferWaterMark
 220:         10857         260568  io.grpc.internal.ManagedChannelImpl$3
 221:         10857         260568  io.grpc.internal.ManagedChannelImpl$DelayedTransportListener
 222:         10857         260568  io.grpc.internal.ManagedChannelImpl$IdleModeTimer
 223:         10857         260568  io.grpc.internal.ManagedChannelImpl$RealChannel$1
 224:         10857         260568  io.grpc.internal.ManagedChannelImpl$RestrictedScheduledExecutor
 225:         10857         260568  io.grpc.internal.RetriableStream$ChannelBufferMeter
 226:         10856         260544  io.grpc.NameResolverRegistry$NameResolverFactory
 227:         10855         260520  com.aerospike.vector.interconnect.InterconnectChannelProvider$MultiAddressNameResolverFactory
 228:         10855         260520  io.grpc.internal.NameResolverFactoryToProviderFacade
 229:          3729         208824  io.netty.channel.AbstractChannel$AnnotatedConnectException
 230:          3729         208824  java.net.ConnectException (java.base@21.0.6)
 231:           182         198496  [Lio.netty.buffer.PoolSubpage;
 232:          2974         190336  java.lang.invoke.MethodType (java.base@21.0.6)
