10:
 num     #instances         #bytes  class name (module)
 178:           616          19712  java.util.Collections$SetFromMap (java.base@21.0.6)
 179:           154          19704  [Ljava.lang.reflect.Method; (java.base@21.0.6)
 180:           153          19584  org.glassfish.hk2.utilities.DescriptorImpl
 181:           244          19520  io.netty.handler.codec.http2.DefaultHttp2Connection
 182:           601          19200  [Ljava.security.cert.Certificate; (java.base@21.0.6)
 183:           140          19040  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Property
 184:           471          18840  java.math.BigInteger (java.base@21.0.6)
 185:           292          18688  com.google.inject.internal.ChildBindingAlreadySetError
 186:           583          18656  java.lang.Class$AnnotationData (java.base@21.0.6)
 187:            97          18624  com.google.common.cache.LocalCache
 188:           128          18432  java.net.URI (java.base@21.0.6)
 189:           190          18240  io.netty.channel.AdaptiveRecvByteBufAllocator$HandleImpl
 190:           247          17784  java.lang.Package$VersionInfo (java.base@21.0.6)
 191:           246          17712  java.util.logging.LogManager$LoggerWeakRef (java.logging@21.0.6)
 192:           130          17680  com.fasterxml.jackson.databind.deser.impl.FieldProperty
 193:           100          17600  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 194:           200          17600  java.lang.ClassValue$ClassValueMap (java.base@21.0.6)
 195:           550          17600  kotlin.reflect.jvm.internal.impl.renderer.DescriptorRendererOptionsImpl$property$$inlined$vetoable$1
 196:           733          17592  com.fasterxml.jackson.databind.introspect.AnnotationMap
 197:           244          17568  io.grpc.netty.AbstractNettyHandler$FlowControlPinger
 198:           244          17568  io.netty.handler.codec.http2.Http2Settings
 199:           439          17560  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$Entry
 200:           310          17360  com.aerospike.vector.index.InternalIndexId
 201:           217          17360  io.grpc.internal.CallCredentialsApplyingTransportFactory$CallCredentialsApplyingTransport
 202:           265          16960  com.aerospike.vector.index.BatchIndexMetadata
 203:           414          16560  io.netty.channel.DefaultChannelId
 204:           411          16440  io.grpc.InternalLogId
 205:           411          16440  kotlin.SynchronizedLazyImpl
 206:           669          16056  java.util.LinkedHashMap$LinkedValues (java.base@21.0.6)
 207:           399          15960  io.netty.channel.AdaptiveRecvByteBufAllocator
 208:           220          15840  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.6)
 209:           219          15768  ch.qos.logback.classic.Logger
 210:           244          15616  io.netty.handler.codec.http2.DefaultHttp2Connection$ConnectionStream
 211:           244          15616  io.netty.handler.codec.http2.DefaultHttp2LocalFlowController$AutoRefillState
 212:           244          15616  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController
 213:           244          15616  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor
 214:           174          15312  java.util.jar.JarFile (java.base@21.0.6)
 215:           638          15312  kotlin.reflect.jvm.internal.impl.name.Name
 216:           628          15072  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.6)
 217:           376          15040  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.6)
 218:           468          14976  io.netty.channel.SucceededChannelFuture
 219:           264          14784  sun.security.util.KnownOIDs (java.base@21.0.6)
 220:           205          14760  java.util.zip.Inflater (java.base@21.0.6)
 221:           184          14720  com.google.inject.internal.ProviderInstanceBindingImpl
 222:           303          14544  com.aerospike.vector.client.proto.IndexId
 223:           303          14544  java.util.concurrent.FutureTask (java.base@21.0.6)
 224:           909          14544  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.6)
 225:           450          14400  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@21.0.6)
 226:           359          14360  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@21.0.6)
 227:           178          14240  java.io.FileCleanable (java.base@21.0.6)
 228:           584          14016  com.google.common.cache.LocalCache$StrongValueReference
 229:           576          13824  io.netty.util.collection.IntObjectHashMap$1
 230:           576          13824  io.netty.util.collection.IntObjectHashMap$EntrySet
 231:           576          13824  io.netty.util.collection.IntObjectHashMap$KeySet
 232:           190          13680  io.grpc.StatusException
 233:           244          13664  io.netty.handler.codec.http2.DefaultHttp2ConnectionEncoder
 234:           244          13664  io.netty.handler.codec.http2.DefaultHttp2FrameReader
 235:           244          13664  io.netty.handler.codec.http2.DefaultHttp2LocalFlowController
 236:           244          13664  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$FlowState
 237:           244          13664  io.netty.handler.codec.http2.HpackDecoder
 238:           280          13440  com.fasterxml.jackson.databind.introspect.AnnotatedParameter
 239:           104          13312  java.util.regex.Pattern (java.base@21.0.6)
 240:           208          13312  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@21.0.6)
 241:           544          13056  io.grpc.internal.ReflectionLongAdderCounter
 242:           540          12960  java.util.concurrent.atomic.AtomicReferenceArray (java.base@21.0.6)
 243:           398          12736  kotlin.reflect.jvm.internal.impl.name.ClassId
 244:           394          12608  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.6)
 245:           174          12528  jdk.internal.loader.URLClassPath$JarLoader (java.base@21.0.6)
 246:           104          12480  com.google.protobuf.DescriptorProtos$DescriptorProto
 247:           389          12448  io.grpc.EquivalentAddressGroup
 248:           221          12376  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$QualifiedNameTable$QualifiedName
 249:           103          12360  com.google.protobuf.Descriptors$Descriptor
 250:           386          12352  com.fasterxml.jackson.databind.introspect.MemberKey
 251:           192          12288  io.netty.buffer.PoolChunkList
 252:           219          12264  java.util.TreeMap$Entry (java.base@21.0.6)
 253:           255          12240  com.google.common.collect.LinkedHashMultiset
 254:           507          12168  com.google.common.collect.SingletonImmutableList
 255:           217          12152  io.netty.handler.codec.http2.StreamBufferingEncoder
 256:           251          12048  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument
 257:           210          11760  java.lang.ClassValue$Entry (java.base@21.0.6)
 258:           294          11760  java.net.Inet6Address (java.base@21.0.6)
 259:           294          11760  java.net.Inet6Address$Inet6AddressHolder (java.base@21.0.6)
 260:           244          11712  io.grpc.netty.WriteQueue
 261:           244          11712  io.netty.handler.codec.http2.DefaultHttp2Connection$ActiveStreams
 262:           244          11712  io.netty.handler.codec.http2.HpackDynamicTable
 263:           244          11712  io.netty.handler.codec.http2.HpackHuffmanEncoder
 264:           365          11680  java.util.concurrent.ConcurrentLinkedQueue (java.base@21.0.6)
 265:           112          11648  java.lang.Class$ReflectionData (java.base@21.0.6)
 266:           290          11600  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@21.0.6)
 267:           480          11520  io.netty.buffer.IntPriorityQueue
 268:           240          11520  io.netty.handler.codec.CodecOutputList
 269:            49          11368  io.grpc.internal.InternalSubchannel
 270:           117          11232  java.util.logging.Logger (java.logging@21.0.6)
 271:           453          10872  java.util.concurrent.atomic.AtomicLong (java.base@21.0.6)
 272:           123          10728  [Ljava.security.ProtectionDomain; (java.base@21.0.6)
 273:           191          10696  java.io.FileDescriptor (java.base@21.0.6)
 274:           190          10640  java.nio.channels.UnresolvedAddressException (java.base@21.0.6)
 275:           221          10608  sun.security.util.ObjectIdentifier (java.base@21.0.6)
 276:           331          10592  com.google.inject.internal.WeakKeySet$KeyAndSource
 277:            20          10560  [Ljava.util.concurrent.ForkJoinTask; (java.base@21.0.6)
 278:           186          10416  org.glassfish.hk2.utilities.cache.LRUHybridCache$OriginThreadAwareFuture
 279:            59          10384  io.netty.util.internal.InternalThreadLocalMap
 280:           143          10296  kotlinx.coroutines.internal.DispatchedContinuation
 281:           142          10224  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.6)
 282:           426          10224  org.glassfish.jersey.internal.routing.CombinedMediaType$EffectiveMediaType
 283:           424          10176  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$WeightedValue
 284:           420          10080  org.glassfish.hk2.utilities.reflection.internal.MethodWrapperImpl
 285:           209          10032  java.util.logging.LogManager$LogNode (java.logging@21.0.6)
 286:           312           9984  sun.reflect.generics.factory.CoreReflectionFactory (java.base@21.0.6)
 287:           414           9936  io.netty.channel.VoidChannelPromise$1
 288:           414           9936  io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe$1
 289:           414           9936  io.netty.channel.epoll.LinuxSocket
 290:           155           9920  java.security.CodeSource (java.base@21.0.6)
 291:           307           9824  javax.management.ImmutableDescriptor (java.management@21.0.6)
 292:           177           9800  [Lsun.reflect.generics.tree.TypeSignature; (java.base@21.0.6)
 293:           244           9760  io.grpc.netty.Utils$FlowControlReader
 294:           244           9760  io.netty.handler.codec.http2.DefaultHttp2HeadersEncoder
 295:           244           9760  io.netty.handler.codec.http2.HpackHuffmanEncoder$EncodeProcessor
 296:           174           9744  java.io.RandomAccessFile (java.base@21.0.6)
 297:           405           9720  java.util.IdentityHashMap$KeySet (java.base@21.0.6)
 298:           110           9680  java.nio.DirectByteBuffer (java.base@21.0.6)
 299:           398           9552  io.netty.channel.epoll.AbstractEpollStreamChannel$1
 300:           199           9552  java.util.zip.ZipFile$CleanableResource (java.base@21.0.6)
 301:           118           9440  com.google.inject.internal.ConstructorBindingImpl
 302:           130           9360  java.util.concurrent.ThreadPoolExecutor$Worker (java.base@21.0.6)
 303:           292           9344  com.google.inject.spi.Message
 304:            27           9288  io.grpc.netty.NettyServerHandler
 305:           290           9280  io.netty.util.internal.logging.LocationAwareSlf4JLogger
 306:           127           9144  java.net.NetworkInterface (java.base@21.0.6)
 307:           228           9120  com.google.inject.spi.InjectionPoint
 308:           190           9120  io.grpc.netty.ProtocolNegotiators$WaitUntilActiveHandler
 309:           126           9072  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.6)
